feature,mean_importance
Gender,-5.161019734345462e-06
Ethnicity,5.657395371684582e-06
Abortion Edit Indicator,9.32420481797147e-05
APR Severity of Illness Description,0.00010224331505158946
Payment Typology 1,0.0001170325689770782
APR MDC Code,0.00016975455570829718
Patient Disposition,0.0001779126949832982
APR Risk of Mortality,0.00028542047678938867
Payment Typology 3,0.00046133857244578245
Race,0.0005497133349359237
APR Severity of Illness Code,0.0008122498486543839
CCS Diagnosis Description,0.0008230350619839219
Emergency Department Indicator,0.0008255742378322856
Payment Typology 2,0.0008285798162963737
APR DRG Code,0.001590800770336763
CCS Procedure Description,0.001655324501724148
Type of Admission,0.0019635910316793846
APR DRG Description,0.0023291882671288176
CCS Procedure Code,0.0023436579971144304
APR MDC Description,0.0028045952655756474
CCS Diagnosis Code,0.0029923303217524026
APR Medical Surgical Description,0.006208305661862687
Age Group,0.007826613640638379
Zip Code - 3 digits,0.008467732075480254
Health Service Area,0.013475734552627
Hospital County,0.01840331925020523
Birth Weight,0.019293111152769733
Length of Stay,0.0300529464099052
Facility Id,0.030545109365807586
Operating Certificate Number,0.03841933715142366
Facility Name,0.057134567978173026
Total Charges,1.6227745926546917
