feature,mean_importance
Abortion Edit Indicator,0.0
Hospital County,0.00013544153747933053
APR Severity of Illness Description,0.00043569904208855536
Ethnicity,0.0008370172203759241
Length of Stay,0.001465147548854695
Type of Admission,0.001465268820714649
APR Medical Surgical Description,0.0015343716319059508
Health Service Area,0.0018723751627876873
Emergency Department Indicator,0.002059607628747351
Gender,0.002744423587777223
Payment Typology 3,0.002861197530936166
CCS Procedure Code,0.00408739890097487
CCS Procedure Description,0.004422839358914965
Race,0.00788679810170887
Operating Certificate Number,0.008861870178893571
Total Costs,0.009099994713202376
Facility Name,0.009104312890683053
Zip Code - 3 digits,0.00945598136327248
Facility Id,0.009693478323948446
Total Charges,0.014115893954467818
APR DRG Description,0.015200491527546966
APR DRG Code,0.01618848300632365
APR Severity of Illness Code,0.01795208697073769
CCS Diagnosis Description,0.018911246054096754
Payment Typology 2,0.029609402177380128
CCS Diagnosis Code,0.03361991093451637
APR MDC Code,0.03378655965261508
Patient Disposition,0.039475194401847144
APR Risk of Mortality,0.10563808352287185
APR MDC Description,0.15856426690787076
Birth Weight,0.28630904266160695
Payment Typology 1,0.30389634247412806
