feature,mean_importance
Abortion Edit Indicator,-0.0001555206281237176
Type of Admission,0.0006001212421032909
Ethnicity,0.0012707900805057682
CCS Diagnosis Description,0.001861879294656621
CCS Procedure Code,0.0029139288764237657
APR Severity of Illness Description,0.003908289675769505
Length of Stay,0.004822310684138386
Health Service Area,0.005715763611721858
Race,0.007404840524095069
Facility Name,0.008360411305437632
Payment Typology 3,0.008375697144448635
Payment Typology 2,0.009137346294892712
Total Charges,0.009319410580673138
CCS Procedure Description,0.009771262503449729
Total Costs,0.009994241963430262
Emergency Department Indicator,0.010428971551917177
Hospital County,0.010947813225285975
Gender,0.011714516369894267
Operating Certificate Number,0.01285877791525567
Facility Id,0.01287884069580474
APR DRG Description,0.014432978483206039
Zip Code - 3 digits,0.017130479614093773
CCS Diagnosis Code,0.0172827761040387
APR Severity of Illness Code,0.020542255242309883
APR Medical Surgical Description,0.021126962858723154
Patient Disposition,0.02122051462045964
APR DRG Code,0.03147917653853307
APR MDC Code,0.053311257667024846
APR Risk of Mortality,0.12155897079952441
Payment Typology 1,0.40642190288299124
APR MDC Description,0.42971983404678155
Birth Weight,1.3535540606716996
