feature,mean_importance
Hospital County,-2.220446049250313e-16
Operating Certificate Number,-2.220446049250313e-16
APR Severity of Illness Description,-2.220446049250313e-16
CCS Procedure Description,-1.7763568394002506e-16
CCS Procedure Code,-1.7763568394002506e-16
Payment Typology 3,-1.7763568394002506e-16
Type of Admission,-1.7763568394002506e-16
APR Severity of Illness Code,-1.7763568394002506e-16
Ethnicity,-1.7763568394002506e-16
Facility Name,-1.7763568394002506e-16
Emergency Department Indicator,-1.7763568394002506e-16
Race,-1.7763568394002506e-16
Length of Stay,-1.3322676295501878e-16
Gender,-1.3322676295501878e-16
Abortion Edit Indicator,-1.3322676295501878e-16
APR Medical Surgical Description,-1.3322676295501878e-16
Total Charges,-1.3322676295501878e-16
APR DRG Description,-1.3322676295501878e-16
Health Service Area,-8.881784197001253e-17
Zip Code - 3 digits,-4.4408920985006264e-17
CCS Diagnosis Description,0.00014596656504901607
Payment Typology 2,0.0003613939735743532
Patient Disposition,0.00046981842587709986
Facility Id,0.000841098034653065
Total Costs,0.003613727166507541
APR DRG Code,0.006614536819975636
APR MDC Code,0.00853440983103675
APR Risk of Mortality,0.00897177140754144
CCS Diagnosis Code,0.021375887414208282
APR MDC Description,0.12517096156685167
Payment Typology 1,0.5405874152325021
Birth Weight,0.6266093710960094
