feature,mean_importance
APR Severity of Illness Description,-0.00037254061105933544
Abortion Edit Indicator,0.0
Ethnicity,0.0008060718933020405
Type of Admission,0.001074439857982723
Health Service Area,0.0013074207678947848
Hospital County,0.001380535829159113
Length of Stay,0.0014786298472945214
Emergency Department Indicator,0.0016094318245484906
Payment Typology 3,0.002263449489873337
Gender,0.0028715352312249642
APR Medical Surgical Description,0.003277069740780858
CCS Procedure Description,0.0035354697829020456
CCS Procedure Code,0.005109822705850031
Zip Code - 3 digits,0.007934786422165097
Race,0.00816177575844943
APR DRG Description,0.010125002189872579
Facility Id,0.010332785550141521
Operating Certificate Number,0.01216917433615634
Total Costs,0.012412483514215134
Facility Name,0.013835761350596587
Total Charges,0.014038826408957239
CCS Diagnosis Description,0.01575122181193358
APR Severity of Illness Code,0.015928472732313813
APR DRG Code,0.016838699731184303
APR MDC Code,0.025082759006085652
Payment Typology 2,0.032244755244722076
CCS Diagnosis Code,0.036031826598743134
Patient Disposition,0.04103437603714917
APR Risk of Mortality,0.11250177024331895
APR MDC Description,0.16889717462668616
Birth Weight,0.26382222067559224
Payment Typology 1,0.31156032078742857
