feature,shap_importance
Payment Typology 1,3.3649406
APR MDC Description,1.6697793
Birth Weight,1.5525928
APR Risk of Mortality,1.3247528
Patient Disposition,0.9412033
CCS Diagnosis Code,0.89474833
Payment Typology 2,0.7132621
Total Charges,0.6127504
APR DRG Code,0.59681827
APR MDC Code,0.57033294
Total Costs,0.52947545
CCS Diagnosis Description,0.50601983
Facility Name,0.4520095
APR Severity of Illness Code,0.35933197
Operating Certificate Number,0.35671526
CCS Procedure Code,0.34555805
APR DRG Description,0.33806595
Race,0.3342884
CCS Procedure Description,0.28931737
Facility Id,0.28552926
Zip Code - 3 digits,0.26588935
Gender,0.23078316
Length of Stay,0.2049191
Hospital County,0.14991221
Type of Admission,0.13783747
APR Medical Surgical Description,0.12631679
Emergency Department Indicator,0.121244095
Health Service Area,0.11202896
Payment Typology 3,0.08758285
Ethnicity,0.074303515
APR Severity of Illness Description,0.057007913
Abortion Edit Indicator,0.0
