feature,mean_importance
APR Severity of Illness Description,-0.003019778638710591
Operating Certificate Number,-0.000593803685618366
Facility Name,8.861285252648177e-05
Health Service Area,0.0009039956148595652
Type of Admission,0.0010439777726274357
Facility Id,0.00137556756427224
Length of Stay,0.001949850708681189
Payment Typology 2,0.0022150743723618137
Hospital County,0.002215882901016686
Ethnicity,0.0026466946257223123
Total Costs,0.0029024517198320554
CCS Procedure Code,0.00371934860737535
Zip Code - 3 digits,0.003943199158591271
Total Charges,0.004152135539541546
CCS Procedure Description,0.00488288198720932
CCS Diagnosis Description,0.005017100477304859
Abortion Edit Indicator,0.006642489032885779
APR DRG Description,0.006805537266390505
Gender,0.009380597339271324
Race,0.010223708834049838
Emergency Department Indicator,0.0103330280435604
Payment Typology 3,0.010586811057987377
Patient Disposition,0.011087895004785886
APR Severity of Illness Code,0.011710739556487914
APR Medical Surgical Description,0.01615881035007085
APR DRG Code,0.016243811648342987
CCS Diagnosis Code,0.017498443160209785
APR MDC Code,0.028063791330434816
APR Risk of Mortality,0.10678069223874757
APR MDC Description,0.25880712017001783
Payment Typology 1,0.3653870984078842
Birth Weight,0.6808857260774526
