feature,mean_importance
Zip Code - 3 digits,-1.8136988799732913e-05
Operating Certificate Number,-5.110400456231901e-06
CCS Procedure Description,2.2204460492503132e-17
Hospital County,2.2204460492503132e-17
Payment Typology 2,2.2204460492503132e-17
Ethnicity,2.2204460492503132e-17
Length of Stay,2.2204460492503132e-17
Payment Typology 3,4.4408920985006264e-17
APR Severity of Illness Description,4.4408920985006264e-17
CCS Procedure Code,4.4408920985006264e-17
Health Service Area,4.4408920985006264e-17
Race,6.661338147750939e-17
Abortion Edit Indicator,6.661338147750939e-17
Facility Id,6.661338147750939e-17
Emergency Department Indicator,1.1102230246251565e-16
Gender,4.6817223675121864e-05
APR Medical Surgical Description,6.248390322403097e-05
CCS Diagnosis Description,0.00015712793586639684
APR Severity of Illness Code,0.00016009251450850305
Facility Name,0.0001650784374024994
Patient Disposition,0.00020280162299100014
APR DRG Description,0.0006903846137329195
Total Costs,0.0008620553768027061
Total Charges,0.001800551301414166
Type of Admission,0.0036676477858017752
APR MDC Code,0.010854701761175135
APR Risk of Mortality,0.012614445499328242
CCS Diagnosis Code,0.015559715663958973
APR DRG Code,0.017668398773292026
APR MDC Description,0.1351166351964297
Birth Weight,0.47351460488169683
Payment Typology 1,0.5191463587703962
