feature,shap_importance
Payment Typology 1,0.4957824093274589
Birth Weight,0.2999002602821731
APR MDC Description,0.20183321531392961
APR Risk of Mortality,0.03573878851839967
CCS Diagnosis Code,0.029276276689271664
APR DRG Code,0.027320014203171383
APR MDC Code,0.021886126684399588
Type of Admission,0.008613345728188573
Total Charges,0.008495107149573026
Total Costs,0.00522829724645332
APR DRG Description,0.0012545160621291417
Patient Disposition,0.0012226478404143769
APR Severity of Illness Code,0.0010863880232253786
CCS Diagnosis Description,0.0004933991191133149
Facility Name,0.0004830038155615299
APR Medical Surgical Description,0.0004466863419677685
Gender,0.0004093002269874121
Zip Code - 3 digits,9.854343671693414e-05
Operating Certificate Number,9.805448182356138e-05
Length of Stay,0.0
Payment Typology 2,0.0
Emergency Department Indicator,0.0
Abortion Edit Indicator,0.0
Facility Id,0.0
Payment Typology 3,0.0
APR Severity of Illness Description,0.0
Race,0.0
Hospital County,0.0
CCS Procedure Description,0.0
CCS Procedure Code,0.0
Ethnicity,0.0
Health Service Area,0.0
