feature,mean_importance
APR Severity of Illness Description,0.0003767801979980001
Payment Typology 1,0.0004407597084938097
Patient Disposition,0.0005320281206660143
Abortion Edit Indicator,0.0006309854898302519
CCS Diagnosis Description,0.0007466239727044133
Gender,0.0007500292704754302
APR Risk of Mortality,0.0009047248297663707
Payment Typology 3,0.0009187375491960609
Ethnicity,0.0013515671553521208
CCS Procedure Description,0.0015306605439579014
APR DRG Description,0.0020220295880243656
Race,0.0026929822398830323
Payment Typology 2,0.00303929993911532
Age Group,0.0033782582386367556
Type of Admission,0.003537975977902727
APR Severity of Illness Code,0.004354507094625137
CCS Procedure Code,0.0050877482448577925
APR MDC Description,0.006156633739673051
CCS Diagnosis Code,0.01056765264997572
Facility Id,0.013768514872919796
Emergency Department Indicator,0.01783609718046519
APR Medical Surgical Description,0.018949021501771426
APR MDC Code,0.022446016171544295
Health Service Area,0.023241659198239194
APR DRG Code,0.028992484266693052
Hospital County,0.029150430719715615
Zip Code - 3 digits,0.02963129531095059
Operating Certificate Number,0.036507228563736435
Facility Name,0.03935414924462908
Birth Weight,0.040958291070321895
Length of Stay,0.07790030220154512
Total Charges,1.3019150194495648
